Q16538	Q9UPY8
O75319	Q7Z7M9
O95573	Q9HB03
Q9UKG1	Q96JC1
Q9BXT5	Q9Y2I6
P51828	Q9NYN1
Q9Y6K1	Q6GPH4
Q05329	Q8TAB3
Q8TE85	Q7LFL8
P42262	P43378
Q07890	O75366
P57078	P02585
Q8N9I0	P38571
P55884	O95714
P49840	P43250
P10809	Q9Y5X4
Q15652	Q86X53
Q8IVH2	P22003
P30876	Q5U5R9
P07205	P14324
Q8WW32	P43353
P52272	Q9NYH9
Q13627	Q8NFU5
P08910	Q13822
Q9NR20	P61163
Q13304	P10523
O95452	P02533
P49795	Q9UKS6
P39900	O15198
O95477	P61278
Q02241	O43502
Q06278	P29972
Q9C0C7	P13073
P11137	Q9HCK4
Q969G2	Q15878
Q05925	Q96F45
P25685	P18077
Q5H9L4	O95197
O00168	Q9UJV3
P68543	Q9BW60
Q9H211	Q9GZZ9
Q9BRP8	Q9P2H3
O15335	P55107
O95278	O94921
Q15678	O75554
Q96M96	O94989
Q9HCN8	Q8NCQ7
O00533	Q14832
Q86YR6	P78395
Q96JB5	Q9Y673
P14416	Q92769
Q9H5Q4	O00534
A0JLT2	P43251
Q9UNQ0	P37173
H0YIN7	P25786
Q9HC16	Q07955
P00367	Q96M98
O43307	Q5F1R6
Q04695	Q5TA76
Q8TEQ0	Q9UK32
Q9Y3L5	Q9NVW2
Q01449	P62280
Q68CL5	P08913
Q9BXA7	Q8NDV3
Q5XG87	Q9BW19
Q68DC2	O15409
Q13033	Q6P5Z2
F6TLX2	Q96EX3
Q15375	Q16825
Q16527	Q6PCE3
Q8IZS8	P55075
P16591	Q9UGC6
Q9BXL7	O75398
Q9BZ23	Q5QPR3
Q13144	B7ZW38
Q9UNQ0	Q9NZJ5
Q9Y618	P51508
Q9P0K7	Q96KC2
Q96KC2	Q9H672
P59998	Q9BX68
Q9BWQ6	P11172
O75400	Q99467
O75015	Q9Y3Z3
Q02790	Q5TGI0
Q8NFT8	Q5TCY1
Q9P0J7	Q9ULT8
P49915	Q9ULA0
I3L273	Q9H808
Q969S8	Q9BWM5
Q12946	Q02080
Q9ULC6	O14744
Q9UQL6	Q6DN90
P48163	Q8N6T7
Q13332	P0CE72
P43250	Q5THR3
Q08209	Q92551
Q9NYH9	Q13347
P46459	P61158
Q9HAC7	Q8TC71
P61812	P13056
Q15555	P98170
Q9NVR5	P12236
P45379	Q969M3
O43143	Q7Z7A1
P25103	Q9NRJ3
Q15058	Q96CX2
Q7Z6E9	Q14188
Q6P3S6	P49761
Q8N612	P50570
Q9BQ08	P02768
P53779	P22732
P62380	O15405
Q96DT6	Q8N3J5
Q8NFP7	P63162
Q02750	Q9HCT0
P51955	Q03135
P27105	Q3SXY8
A6NGE7	P07195
Q8NAT1	Q8TDF5
Q14643	Q9UIL4
Q9UNH6	Q96T88
P05161	O00468
Q96HY7	P62753
P05412	P11712
P02462	P09237
P20151	P10145
Q92797	Q13263
O00471	Q8N2H4
Q5ST30	O75575
Q969F8	P60709
Q14BN4	O43147
P26232	Q86X95
Q8N9B4	O95760
O43264	Q53HC9
Q8IXB1	Q9BZP6
Q8IWZ3	P13667
Q04912	P09603
P42226	Q8NCF5
P06727	A2RUR9
P00492	P18283
P30989	P35557
Q96BJ8	P35916
H7C0V5	P0CJ85
Q8NGP9	Q969N4
P68400	Q7Z7A1
Q9NYC9	P13535
P22455	P05997
P02749	P19429
O00409	P18847
Q92794	P31271
P09104	Q12864
O43491	Q9C0A6
O43866	O95992
O14802	Q96QZ7
Q71RC2	P47756
Q99615	Q99832
Q9Y6N8	E7EVN3
P20719	Q9H5I1
P13667	Q6P6B7
Q9NS23	P05783
Q02535	Q04721
Q13546	P08567
Q7Z4H3	O15527
Q5JTN6	O60281
P84077	O15357
Q9Y324	P05496
Q07955	Q96KP1
Q92484	Q99598
O14933	Q9Y672
Q96H22	Q9NX62
Q9HCK8	Q13207
Q96B18	P28221
O00519	Q13405
Q96C01	O95229
P35249	Q8NCF5
Q6PJI9	Q9Y6V7
P59796	P01229
P36268	P17600
Q8N5B7	Q13131
F8W031	P06753
P33527	P98198
Q12965	Q9NYQ6
P54756	Q13362
Q8WU76	P49802
Q9NP80	Q8TDZ2
P11802	O60812
Q96AH8	P11309
O60333	P42684
P02760	O75694
Q9HCM4	Q13023
Q13118	O60488
Q93008	O75914
Q9HCJ2	Q16720
Q9Y663	O95803
Q9Y279	Q14956
Q96MX6	Q8TE02
Q99962	Q8N336
Q9P2R3	P0CG47
Q96M98	Q8N1S5
Q9UG01	P24347
Q12926	Q9BX66
Q9BTA9	P46063
A0A0A6YYK5	Q9Y2N7
P63244	Q93034
Q00169	Q9UGK8
Q8N4Q0	A6NKP2
P32239	Q8TCU5
Q7Z407	Q96TA1
P50570	Q9UHW9
P09488	P06729
M0R2C6	Q8TB92
Q8N2I9	Q9HCD6
Q9NQ38	P07333
P61353	Q8WVL7
P29120	Q9NZU1
P62917	Q9HCE3
Q92854	Q9HC23
Q8NAU1	Q8N2Z9
Q15915	Q9Y5F6
Q7Z3B3	Q96IK1
Q8NGL4	Q8NGE5
P30740	Q07973
Q02962	P26012
Q6PIL6	Q15746
Q9UQ35	P09038
P0C6A0	Q9UK73
Q13443	Q12768
P46095	Q969F8
Q9UKK9	P49915
Q9UQL6	Q15361
Q9NWS0	Q9BV38
Q8NEZ4	P57071
P33076	Q15006
O15105	P01344
Q8IXS6	Q92535
Q16644	Q13464
P17480	O15347
Q9Y297	Q15389
Q8N4Z0	Q99558
Q96QE4	P11474
Q9UBK7	Q86W74
Q86X55	P11831
Q9UPX8	Q96RU8
P17787	P0C7M8
P40261	P08254
Q9HBA0	P51798
Q8IVW1	O43283
Q8WVK7	O14929
Q8IUI8	Q5VWK5
B9A6J9	P54760
P35527	O14815
Q5BKY1	P51991
P19525	Q9HC16
O60381	Q9Y5Z7
A0A0B4J1V8	P58557
Q8WZ04	P54886
Q8WXC3	P06753
Q9ULG1	Q4L235
P56177	Q96T83
O00212	Q8WXD9
A6NNW6	P19387
Q9BQ48	Q8N4H5
Q8N1N2	Q8TEQ0
Q8WXC3	P12036
O43347	Q92994
Q8IYB7	P25685
P00918	P35968
Q9BZ29	H0YGG7
P55197	Q9HAV4
Q9H7D7	Q6NSJ5
P14923	Q99853
P20336	P54756
P0C1H6	Q8WW59
Q9P258	Q6P2E9
O15033	Q5JRA6
O75954	O14558
P14672	Q7Z406
Q01524	P80162
Q9P1W9	Q9GZV1
P27361	P0CG40
P61599	Q6P161
Q8NDV2	Q9P2W3
P30084	Q9NZ94
P11387	Q6P179
Q8NGD3	P07477
Q12837	Q92753
Q6ZS86	Q96MM6
Q9BUA6	Q9ULI0
Q86UR1	Q7Z4I7
Q03014	P23946
O43741	P08922
Q02790	Q96KA5
P62312	P31942
P05089	Q8IXI1
Q8TAI7	Q16288
Q9HCM9	Q96HC4
Q9BZL4	Q04917
Q2NKX9	P40121
Q8NF99	Q9UIL8
Q13087	Q99615
O75489	Q9BYD3
P14091	Q13838
Q8N3U4	Q9BQS7
P04053	P98088
Q9NVM9	P51114
P16444	P0CG13
Q92598	P62888
P61018	Q96EY5
Q9ULJ7	P08581
Q02410	P14416
P22301	P07942
Q9GZV7	Q6PIL6
Q9P2A4	O15146
Q02641	Q93015
P23381	Q99497
P26640	P17844
Q15327	Q7Z591
P61011	Q9Y234
Q99442	Q9UL25
P53701	Q5T653
Q9Y446	P29966
Q96RG2	Q96I27
Q14678	Q9NQS1
Q15375	P02647
P16152	Q01196
Q14123	Q92667
Q496M5	Q5VUR7
Q15287	P51884
Q9Y5A9	O75175
O00750	Q6P1J9
P60985	Q9Y6A4
P07205	Q8IYT8
O00219	Q70JA7
V9GY96	P54277
Q9Y6D0	Q15021
P46779	Q8N122
Q71U36	Q06830
Q00975	Q9BPU6
Q9BV23	Q9Y5H8
Q9NXE4	P17050
P27635	P20674
Q8TD08	Q8N9Z9
Q16512	P68133
Q5TAH2	Q86VQ3
Q6YI46	P27695
Q96Q42	P98172
Q9NTN3	Q04721
Q8IU85	A6NH57
Q9Y618	Q8NFA0
P78415	Q9BTM9
Q99490	P16234
P40616	Q9BYP7
P10275	Q9BZA7
Q712K3	Q9BZ95
Q14050	Q9C0K1
Q14576	Q8N9F0
Q6PJG9	Q9BXA6
Q8TEA1	Q9NUP7
P35523	P15172
Q9Y277	Q5HYK3
Q8TDG2	P52292
Q9GZT4	Q96A98
Q13451	P19784
Q92563	K7ENT6
Q9BXX3	P40967
Q8TB45	Q96IZ6
O15146	P42345
Q7Z4F1	Q92673
Q15714	Q8TD30
Q8WVT3	Q71F56
Q9UL19	Q14314
Q7Z6A9	Q8IUN9
Q96BS2	C9JFL3
Q14807	P02545
Q8N431	P60606
Q8IZ41	Q9UKN7
P49736	Q8NA72
Q9BV94	P54802
P04808	Q9Y5R6
Q9Y330	P01906
Q9GZP8	Q92556
P49326	O60760
P0DP08	Q9Y5S2
P08237	P49915
Q7L4I2	P33240
Q99569	Q03113
A6NFQ7	P51572
Q12923	O00238
Q14573	Q8N9L1
Q8TE85	P28331
E7EVN3	P52907
Q13131	O00238
Q8NGC1	Q9BXN1
P31146	O00212
P21359	Q96Q42
Q9BXR0	P08621
Q9NR09	Q9UPY8
O95870	P13798
Q92673	Q9Y6A9
P57058	P08581
Q9Y5H7	O15054
Q9BXU3	P53582
P49815	P19440
Q6ZUM4	Q99759
Q6ZSZ6	P60709
Q5VYJ5	Q96Q80
O75382	Q9UPY8
Q5VUJ9	Q6ZQN5
Q5JUW0	Q96AX9
Q15382	P57058
Q96IR2	Q92800
O60496	Q14CM0
Q8IXT2	Q9C004
O60879	Q9BPW5
P14151	P09237
Q8NFM4	P13569
Q3KQV9	Q9Y616
O43914	B6A8C7
P61254	Q7Z6G8
Q9UPE1	Q9BQ39
P55036	P49411
Q9H3F6	O95168
P40692	P49326
Q9NR63	Q15431
P13521	Q9H2X9
Q04917	Q01970
P04150	P55290
Q63ZY3	P10415
Q9NYA4	Q6NXT6
P11940	P42262
Q96P11	Q9NT68
Q9UNU6	Q6P9G0
P62760	Q8N1N0
Q86WU2	Q86UT6
P14618	Q8WVV4
Q6PML9	Q4L235
Q9H3G5	Q14703
Q9NXR1	Q9P225
O00409	P78527
Q17RW2	Q96J94
Q96RP8	Q99666
Q53RE8	A2RUC4
Q8NFT8	A1L167
Q6ZNG2	Q6ZVC0
P14136	Q8IZC4
Q9H2J7	P12830
P36957	Q9BYD1
O96019	O60244
P50281	P54760
Q9UBP4	O14782
O60674	Q14738
Q9Y3Z3	P23921
Q6UX39	P12643
Q7Z572	O75061
P14616	Q02224
P06493	O00308
Q8TAX9	Q05682
O43913	Q9GZS1
P48549	P08034
Q14847	Q5T1S7
Q92630	Q96JC1
O95622	Q9Y2H1
Q8WV22	Q8IWT0
Q9BZF9	Q9H1H9
Q9NY12	Q9HAW0
O95425	Q9BQL6
Q9H9Y6	Q7L014
Q96KR1	Q05048
P11488	P11021
Q8N441	Q8IYJ3
Q9UMQ6	Q96CD2
P30414	Q7Z572
Q6ZUM4	Q14164
P36952	P05019
P49662	Q8IV38
Q06828	O75486
Q96RS0	P52272
Q13637	O95057
Q5S007	Q9H3U5
Q9NPD3	P19338
P49703	P11161
Q1A5X6	O95977
Q9BW19	P51610
Q13671	Q8TAI7
Q5VV17	P51665
Q13370	P36402
Q08209	O75445
P54764	Q9Y2T4
P43026	Q13546
P07910	A6PVS8
O95528	Q9UBQ7
Q8TC12	P09919
O75368	Q0VGL1
P05111	Q5VT25
P18847	Q86SE5
A6NI87	Q13639
P23458	Q9Y4X3
Q8IWW6	Q12774
Q9BV35	Q99593
P40123	Q9Y2K3
Q07820	Q5SZQ8
P61266	Q96GD4
P24539	P24863
Q9BQ67	Q9BUQ8
P15248	Q14314
O60637	Q96D96
Q08AH1	Q9H0C5
Q9BTP6	O95279
Q0VF49	O60256
Q96BI1	H3BLU4
Q9UQD0	Q9UL68
Q8N5I4	O15321
P61218	O43414
Q13470	Q02108
Q8WWX0	P58872
Q6XPS3	P38606
Q8TBC5	P61952
P67870	P50991
Q9BQI3	P13196
Q8N3T6	Q8TD84
Q9P2D1	P19447
Q8NBB4	Q5T6F0
Q8TBG4	P04746
O43556	P01137
O43639	Q86UD7
Q13596	Q9C0I1
P12318	Q13231
Q09013	Q969Q4
P62166	P35240
Q9H3U7	Q9UMS6
P61086	P20807
A5YKK6	A5PLN7
Q9P2P6	Q9NXR5
Q96RE7	Q495A1
Q9UK99	Q9BQF6
Q6ZSJ9	O43825
Q9NSC2	O75084
Q7Z3K3	Q8WX92
P48023	Q05516
A4D2P6	Q9HA47
Q9UPY5	Q9UDY4
Q96L46	P58499
P36405	P43403
Q9NQR9	Q96AY4
Q01851	O75762
Q9P2U8	Q96DZ5
Q96PR1	Q08J23
Q9NZA1	Q9Y663
Q9NXR5	Q6ZVD8
O95833	Q9P2D8
Q96AY2	O95619
P35080	Q9UKV8
Q6P1M9	Q8NEK8
P62745	Q7Z6M1
Q96K58	O43463
O15066	Q8N960
Q6TFL3	Q9H3R0
P20813	P52758
O60291	Q9UI10
Q03001	P52179
Q32Q12	Q9UBC2
Q32NB8	O95264
Q9Y597	Q9Y5U4
Q9H1R2	P34913
P43487	Q6UVJ0
P60866	Q5TC12
Q9H9B1	Q9Y473
Q86WR6	P49321
P43403	Q15545
P43487	Q92769
Q6YHU6	Q9UQ80
Q9Y2A4	Q9ULJ3
Q7Z3U7	O60762
E5RI56	Q9H765
Q8NFW9	Q96CV9
P20810	Q9BY41
Q9UP38	Q9H161
Q5VUR7	Q9BVI0
Q15691	Q96L91
P06454	P61353
P12931	P35590
Q9UQR1	Q6P499
P20290	O60684
P15421	Q3KPI0
O75899	O95206
P58182	Q29983
P15692	Q8WUW1
Q04695	Q13501
Q16566	P02649
P28340	Q6ZV50
P04899	Q93098
Q6ZW05	O43670
Q9H321	Q8WW32
Q6UXY8	P78545
Q86VH5	P62760
Q5SGD2	Q8NFD2
Q3LHN2	Q3LI81
Q6Q0C0	Q9HD33
Q4LDG9	P61981
O75771	Q9HBH1
Q7Z465	O60238
P62829	Q6PCB7
P52179	J3KSQ7
Q9HBX9	Q9NPI5
O15440	Q16527
P32780	P20042
O43719	Q8N2M8
Q9BU20	Q8NB16
Q14CN2	Q5T601
Q7Z417	Q9UHV7
Q13394	P01375
Q8N9N2	Q86YR6
P51808	Q96QE2
P85037	P57764
P39060	Q6UWY0
P52298	Q86UN3
Q86UF2	Q86YB8
Q969H0	P42679
P11831	Q6P2M8
P33121	Q9Y5U8
P26842	O43653
Q8NA42	Q8NB12
Q9Y283	Q13619
Q9Y3Z3	P00441
P17039	O15550
Q32MK0	P17081
P07949	P10828
Q99988	S4R3C0
Q15389	P25445
P24522	P00338
Q8IVF6	P48059
P63220	Q9UHX1
Q9NQX4	C9JSA6
Q9UDW3	P22087
Q8IXH8	Q13099
Q6N043	Q8NCF5
Q13202	Q92630
P32856	Q04656
Q969H4	Q8IZT8
P98073	Q9UI42
Q86YV9	Q9H0A8
O60927	Q9UKQ2
Q9HBE1	Q05682
Q9H222	P11473
O94991	Q86WK7
P09467	P08567
P12931	Q7Z3V4
P80192	Q5TAH2
Q16143	P23471
Q9UPU9	Q01826
Q7L0J3	P54920
A5A3E0	Q9UMZ2
Q9Y653	Q96DD0
P43080	Q9BXA6
Q9Y2T1	P08567
Q9NZL4	P0DP91
O60309	Q12905
O14672	O43524
Q9BQE3	O96028
Q9BQY4	Q495B1
O75094	Q9UKJ3
P49641	Q10981
O75190	Q9ULT8
Q08211	Q53F19
P24844	Q9UQB9
P08581	P20138
Q7Z6G3	Q86UE6
O14503	Q15011
Q8TAF3	Q6NYC1
F6TDL0	Q16647
Q96I99	P61457
P04798	P50440
Q02930	P52564
Q8N8N0	P27708
O60242	O15354
Q5TCQ9	P98194
Q99973	Q9NPC3
Q9H3H9	Q9UQK1
P19320	Q06330
P11926	Q9UNA4
Q16613	P11309
P39687	Q00688
Q96P44	O95661
P21675	Q7Z4L9
P12018	Q86UN2
Q8NGQ3	Q8N127
Q8NI27	P61964
Q5VUR7	P30533
Q9BQ48	P63272
Q8N3C7	Q5SQ80
Q96CB9	P00325
Q15147	Q9P2J9
O95067	Q8WWZ3
P09455	Q9UHM6
Q9UBX1	P43251
O75360	P42229
P68363	Q96I34
P25789	Q8IYX1
O95057	Q66K66
Q9H0S4	Q8IZ73
P16298	Q86Y33
Q9NUU7	Q9Y295
Q8N9B4	A0A0B4J2A2
P07205	Q8N865
P02766	P17050
P29218	Q15738
P51911	Q8N2S1
Q99986	Q8NEP7
P01375	P61086
Q8IY85	Q04759
Q9NRR5	D6RGH6
P57735	O60522
A6NHC0	P19105
O75628	A6NIR3
Q9BR39	O96013
Q9Y2L5	O95661
Q8N3Y1	Q9P2L0
Q9BQ69	Q9H4M9
Q99963	P18615
P22607	P09238
P51965	Q15399
Q6ZSZ5	Q92558
Q96BR9	Q96RE7
O95490	Q04844
P25789	P22087
Q96RE7	Q9BX70
O14929	Q15063
Q9H8W5	P0C5Y9
P63146	Q8NB16
Q8N371	P56192
P49736	P18621
Q9NR56	P62266
Q9Y639	O75144
Q9UKT9	Q06643
Q03989	Q06413
Q8N4P2	O00767
Q9H1P3	Q8NI08
P59796	P08243
Q8N8U2	P0CG38
Q7Z3T8	Q15256
A0A087WWM6	P00167
O94844	Q8N7F7
Q86X55	Q02880
P29350	P04179
P29317	Q9Y478
Q08752	O15118
Q68CZ2	Q9BST9
P10145	Q8NI99
Q01484	Q05215
Q9NYN1	Q9H672
Q9NP71	Q16665
Q9BVJ7	A4D2P6
Q9ULC0	P57087
Q9UL17	Q8WXH5
Q6A162	G5E9R7
Q92598	P61225
P51636	Q8WWH4
P22626	P23511
Q494X3	Q969S8
Q8N136	O60309
Q9H172	Q14206
Q07352	O60293
Q07820	Q5JPF3
P56470	P46782
P55211	Q7Z6Z7
P00367	Q86XF0
P42773	A0A0G2JRS5
P78337	P52952
O75947	H0YKX5
Q9P0M9	Q96CB9
Q8IUE6	Q9H7B4
Q99832	O76021
Q9BQI6	Q562F6
Q5H9U9	P00156
P57105	Q9Y5F7
Q9Y614	Q92769
P17480	Q9Y259
Q9UHN1	Q9UBX5
P29375	Q96SQ5
Q8NG50	P28340
P61221	M0R3H8
Q13882	P98160
H3BS92	Q8WXF8
Q9HB15	Q96PE3
A6NC57	P48380
Q9UBD9	Q13724
Q02790	Q14847
P16591	P30968
P32245	P60880
Q8IZD6	O43246
A0A087WT10	P54132
Q96I25	Q9NUU7
Q6ZU15	P45381
Q9H993	Q9GZN1
Q9Y575	O60907
Q9BZY9	Q96A61
P12694	Q9H061
Q7L591	Q96CV9
Q16222	Q9GZR2
Q02763	P13232
O15054	Q8IY31
P15104	P60842
Q16589	A6NMX2
O75808	Q7Z5L2
Q9NY57	O14578
O95390	P35579
Q9BTT0	Q6IN85
P55040	Q8IZQ1
Q9Y2W3	O95996
Q9UI47	O60547
Q15050	P50990
O43295	Q8N5M9
Q15386	Q9UPU5
P10144	P25105
P31260	Q9HBX9
F8WE12	Q9Y3A2
P0CG39	Q15075
O14709	Q9BZ95
Q14807	Q13233
P32246	P14138
Q7RTV3	Q96E14
Q6QEF8	P20594
Q9Y4E8	Q9UN19
P17858	Q12912
Q76I76	B2RTY4
O95236	P57730
P48775	Q9NY28
Q99615	P13798
Q96D21	Q86UN2
Q8WUS8	Q8IU89
P24278	P17947
Q8NEF9	Q99811
O00748	P13501
O15084	Q8IZU2
Q7RTS9	Q9NPJ6
Q16181	Q8NFJ9
O95050	Q8N5U1
Q5VWP3	O14744
E5RI56	O75123
M0QYV0	O14595
Q96D46	Q9H1D9
Q16671	P49796
P02686	Q6PII5
Q9UGP8	Q9UNN5
Q8TDF6	Q13228
A1X283	O14654
P50991	Q9BYG3
Q07325	Q06323
P51571	Q00056
Q96A32	P09525
P78504	Q1L5Z9
O00764	Q9BUT1
Q9UBC3	P56703
P00918	Q9UNK0
Q9Y3B8	E7ENQ6
Q9Y3E1	Q8N8Z8
Q15643	Q9UIJ7
Q86U90	O43837
Q5VU43	Q8WZ79
Q8ND25	Q9BQJ4
Q07325	Q9BX97
P11766	P31939
Q16831	Q96BJ3
Q9Y4E5	Q14683
Q99439	Q9H093
A6NIR3	Q14687
P20132	Q13061
Q8TC44	Q8N2C7
Q8N7F7	P19338
Q9Y576	O75037
P57057	P42685
Q9BS18	Q9H347
Q07699	Q8IV01
P42695	Q5MJ70
P20591	P20701
P14921	O43187
P46109	O43524
Q6P9G0	P42771
Q14691	O43296
P48551	Q8IWR1
P52272	Q8TDN6
Q8NDV2	P04350
Q14116	P14921
Q86YS6	P51809
Q86WA8	Q9NQW1
P21926	Q9Y467
O15194	Q5XLA6
P19022	Q969W9
P25398	Q92598
Q96L73	Q6NYC1
Q9UKF7	O15118
Q9ULD0	Q12840
Q96FJ0	Q8N2N9
Q96DU7	Q9NRR4
Q5FWF6	Q8NCF5
Q6P0N0	O43463
Q8WTQ7	Q5S007
Q86YH6	Q9BXU3
Q7Z5L9	Q9Y4C8
Q7Z6B7	O75116
Q6VY07	Q9NZM3
O95302	Q9H992
P54829	P51793
Q9H0B6	Q9BYB4
Q53QZ3	Q9UKA2
P61009	O94855
Q8N5D0	P48681
Q01995	P11049
O75290	Q96T68
P49703	Q15208
Q96QU1	Q14005
Q14444	Q7Z7B1
Q9H3T3	P25092
Q9NX74	P22570
O15550	P55735
P00387	P13584
O77932	Q9UKD2
P30305	Q969U7
Q9Y6M0	O15123
P50120	Q02388
P22314	O95528
O15492	Q16654
Q92833	Q96E11
A6NND4	O00624
P18405	P62913
Q6P1J9	Q96SB8
Q9UQL6	Q9BYD6
Q5T2W1	O15111
Q16270	Q9H3W5
P08254	O14508
Q96AQ2	P51589
Q9P258	Q71UI9
P10745	A6NFC5
Q96P53	Q9P2H5
Q9BVG9	Q9BY12
Q15562	Q12837
P49918	P33552
O96009	Q15849
Q6Q788	Q8IVF4
Q16878	P46778
P04114	A1L429
Q9UHX1	Q13428
P03372	O15360
P17066	P43405
Q9UKW6	P61201
P16519	Q8N2K0
Q8WXD9	Q96FJ0
P04233	Q9Y2I2
Q8IUE1	P51532
Q8WUA2	O15120
P38606	P23327
O43708	P24864
Q14BN4	Q68CZ2
P98077	O75074
P62380	O75607
Q13547	P51530
P53041	Q8WXE1
O14980	P50479
Q13442	P48735
Q99661	P48643
A9QM74	Q92572
Q9NNX6	X6RH99
O00418	P62081
O00631	Q9HC96
P61604	Q86VQ3
O95825	P02671
Q86U90	Q32NB8
Q9NQW8	Q8NFU0
O95528	Q92878
Q8WYA0	O95613
Q9NV88	P09871
Q9Y5T5	P35498
P13284	Q8TAB5
P34932	O15397
Q92765	Q9UKG1
O14646	Q14240
Q03013	Q9NNW7
Q5EB52	Q9BZD2
Q9Y3C1	Q96IK0
O14929	Q9NVU7
O15091	Q9UKE5
Q96E52	O95497
Q13164	O75808
O95271	Q15058
P14138	P30872
O60237	Q16659
Q8NFD2	Q01968
P57058	Q16584
O94992	Q9ULU4
Q969K4	Q8IXI2
Q9NRD5	O43493
Q8IYU2	P41208
Q8WTS6	P51858
Q96BY9	Q9UHD9
Q9UK28	A0A087WZ82
P30405	Q8NFA0
Q96JT2	P24941
Q92685	Q92730
Q96G42	Q16617
P07225	O95073
Q00613	P56470
Q92563	P11229
Q9BY41	O14558
Q08211	Q8TD20
Q9HBG4	Q9UJF2
Q16143	Q5U4P2
O43868	A0PJK1
Q00536	O95140
Q8WU08	F5H423
Q8N0Y7	Q8TAM1
Q08043	Q8NE63
Q9UGL1	Q52M93
B9A064	Q99836
P27987	Q96RT1
Q9NYS7	O60507
Q7L5Y9	Q15386
O95985	Q9NY64
Q9UGQ3	O00487
P02788	P13639
Q13325	O96014
A6NK89	Q9Y5E9
Q9HA77	Q96I99
Q6H8Q1	Q9UQB3
O95696	Q13352
Q14154	Q14790
Q16513	P41236
Q8IVF4	P46100
Q6UX06	Q8N9N7
Q9Y6N9	P15382
P14598	Q9NUW8
O94810	Q9UPA5
Q96MT7	Q9UBP0
P06576	P50502
O95257	U3KQU3
O95427	P55290
Q9HAE3	Q4VNC0
Q8TD08	Q86VQ3
O43526	Q5VZ66
Q13308	P51888
P17706	Q96HR3
P48735	Q9BS26
P54764	P09529
P54764	Q14832
P07305	Q9NXI6
A6NDN3	P00439
P09132	Q96AK3
P63162	O15244
O75677	Q6FI13
Q7Z4M0	P10809
O60508	Q8NBU5
P07148	Q9Y5Q0
P62917	P17027
P62851	Q7L7L0
Q8NBM8	Q5THJ4
P84074	P35219
Q16822	Q03154
P26006	Q9H0F5
Q00722	Q8NCC3
B7ZBB8	Q9NQV8
O15552	P35557
P01732	P80162
P39019	Q8NBS9
P24468	P13797
Q02078	O95278
P54821	Q9BZI1
P48066	Q12860
Q9NQ86	P16402
A6NK59	P62070
O60237	N0E472
Q92989	Q96T52
Q8N9N2	Q96JI7
Q5T6S3	Q15233
B7Z3I4	Q1L5Z9
Q9UQ03	Q12955
Q96JA1	O60674
Q9NWX5	Q5EG05
Q9NYL4	Q13705
Q9UID3	P36507
O96028	Q07889
P46937	O14802
Q9UI26	Q3MHD2
Q6Q759	Q9UIF9
Q8N695	Q15582
Q96JH7	Q70J99
P42684	O60861
Q8NE63	Q6TCH4
B9A003	P61218
Q9ULK2	Q8IYM1
P78412	Q5XKR4
Q8IV20	Q9BWD1
Q8WVH0	Q13972
Q9GZT8	P40938
P11310	Q14728
Q86YV0	P04440
A6NGQ3	P49418
Q8N684	Q9BT23
P30740	Q92858
Q2M385	Q6UXN8
P78346	P48201
Q96B01	Q13569
O95256	Q9Y286
Q14571	Q9H1Y0
P16104	Q9H7T9
O43520	P24298
E9PL57	Q5T4D3
Q12840	Q16650
Q9BRP1	O43464
P19971	Q9H4B0
Q6QNY1	Q13868
P07195	Q04917
P19338	O00629
O60674	Q92830
Q16526	O75715
Q07002	P26045
Q68DA7	O95996
Q86SH2	Q92523
O60765	Q6UVJ0
Q6Q4G3	O95409
Q05586	Q9UGT4
O95336	Q01658
Q96K49	Q14393
Q16775	Q53GQ0
P23142	P58215
P51677	P42574
P27797	P51858
O15151	P49815
Q9Y6D5	P54646
P56470	P00734
Q03001	Q04695
O15379	A4D2P6
P41002	P02656
O43924	Q14697
Q8NCN2	Q9Y2H1
P01116	Q15836
Q5H913	Q9H790
O00429	Q8NHS0
Q15029	Q86VV8
O94813	Q9ULV1
P34913	Q96M94
Q8WXK3	Q93052
O15427	P61073
P54764	P02452
O75179	Q9BVA1
P01275	P06744
Q9BVV8	P07741
A0A0U1RQK6	Q92551
P08708	O15126
Q8NAF0	Q9H3S7
Q8NHZ7	O60264
P00915	P31275
Q13042	P52758
Q9UID3	Q58WW2
Q68DA7	Q9UGJ1
P57086	P05161
Q9Y5E9	Q9Y5H6
Q92597	Q86V21
Q9Y5H2	Q6S545
H3BMQ5	Q9BXT8
Q9UIA0	Q5VXI9
Q96QE2	Q8IUZ0
P49721	Q9Y399
Q9BXU9	Q6PJQ5
Q9Y2Y4	P12980
O95278	P62140
Q9H3D4	O75132
Q2Y0W8	Q15070
Q8IYA7	P25205
Q9Y4F4	Q9NQ35
A1X283	P22310
P08727	P28907
Q969I6	O94911
P00797	Q96MU8
Q6T311	P48426
P31327	O00624
P19440	O75817
Q15811	Q92696
P19838	A8MW92
P14136	Q6NWY9
P11926	P36776
O15244	O43826
Q8NE63	Q76I76
Q9NUI1	Q7Z5L9
P63252	Q9NY47
O14745	Q02487
H3BUK9	P49005
P14616	Q92837
P0CG00	Q9Y3E1
Q8N196	Q99808
P51788	P16615
Q15437	P60763
Q6ZSZ5	Q5IJ48
O15520	P25106
Q99884	P49146
Q2TB90	Q8N427
P51689	Q2M1V0
Q9H987	H0YKX5
